delta,n,method,horizon
0.1,86044,aucb_lam0.05,138
0.1,86044,aucb_lam0.01,543
0.1,86044,cs,-1
0.1,99031,union_anyalloc,9903
0.1,99031,auc,99
0.1,99031,optimal,10415
0.1,99031,aucb_lam0.05,140
0.1,99031,aucb_lam0.01,557
0.1,99031,cs,-1
0.1,113978,union_anyalloc,11397
0.1,113978,auc,106
0.1,113978,optimal,11987
0.1,113978,aucb_lam0.05,143
0.1,113978,aucb_lam0.01,571
0.1,113978,cs,-1
0.1,131182,union_anyalloc,13118
0.1,131182,auc,114
0.1,131182,optimal,13796
0.1,131182,aucb_lam0.05,146
0.1,131182,aucb_lam0.01,585
0.1,131182,cs,-1
0.1,150982,union_anyalloc,15098
0.1,150982,auc,122
0.1,150982,optimal,15878
0.1,150982,aucb_lam0.05,149
0.1,150982,aucb_lam0.01,599
0.1,150982,cs,-1
0.1,173771,union_anyalloc,17377
0.1,173771,auc,131
0.1,173771,optimal,18275
0.1,173771,aucb_lam0.05,151
0.1,173771,aucb_lam0.01,613
0.1,173771,cs,-1
0.1,200000,union_anyalloc,20000
0.1,200000,auc,140
0.1,200000,optimal,21034
0.1,200000,aucb_lam0.05,154
0.1,200000,aucb_lam0.01,627
0.1,200000,cs,-1
